pitcher,player_name,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,S_ERA
605525,J.B. Wendelken,629,0.10016,0.10509,0.003685779,309,0.65696,0.65367,0.011359901,171,0.22222,0.26608,-0.005868363,0.336,0.3084,-0.003354919,-0.795943173,4.0123
605538,Matt Wisler,542,0.13469,0.13469,-0.007638613,283,0.60071,0.63315,-0.033846858,133,0.21053,0.27669,-0.037354112,0.3396,0.2846,-0.005485612,2.481650724,3.669
605540,Brandon Woodruff,1604,0.13092,0.10947,0.018338896,802,0.69202,0.69572,-0.000305285,611,0.27823,0.33089,-0.003543209,0.3413,0.273,-0.004535704,-1.125012229,3.5669
606115,Orlando Arcia,40,0.025,0.0497,-0.008702849,18,0.66667,0.45286,0.032390547,21,0.38095,0.0998,0.065295703,0.3466,0.5406,0.005133739,-3.271637636,5.0182
606131,Luis Perdomo,327,0.11315,0.13151,-0.008855439,165,0.5697,0.64215,-0.040958153,76,0.19737,0.29668,-0.021088221,0.3367,0.2871,-0.005124173,2.83123031,3.6328
606149,Giovanny Gallegos,416,0.19471,0.13061,0.03862963,195,0.73333,0.6684,0.034025328,110,0.3,0.3139,0.013090421,0.3357,0.2816,-0.001965963,2.252135146,3.1436
606160,Rafael Montero,359,0.08357,0.11078,-0.010287312,184,0.70109,0.68785,0.016155006,123,0.19512,0.33645,-0.058536377,0.336,0.2846,-0.003730453,0.288034946,4.3065
606299,Jose Peraza,14,0,0.10593,-0.009084464,8,0.625,0.6472,0.001525708,6,0.16667,0.25999,-0.003087409,0.3715,0.7167,0.002274326,-5.869993457,4.9739
606303,Joel Payamps,122,0.04098,0.11775,-0.031153505,47,0.57447,0.68096,-0.029737413,35,0.17143,0.33676,-0.031949667,0.3247,0.276,-0.006915743,2.88285311,4.1176
606424,Jarlin Garcia,401,0.06234,0.09864,-0.023840373,236,0.55508,0.65402,-0.052579087,144,0.11806,0.27455,-0.069830262,0.3557,0.2403,-0.017475844,-4.036342931,3.8293
606930,Jacob Barnes,353,0.15864,0.06754,0.068714273,159,0.67925,0.65645,0.016213532,88,0.20455,0.30641,-0.035003974,0.334,0.2955,0.001669755,-2.697967434,3.0005
606944,Cody Carroll,83,0.06024,0.08669,-0.009218416,39,0.69231,0.67876,0.001621762,32,0.15625,0.27381,-0.019793873,0.334,0.6357,0.010517623,-2.987131079,5.2212
606965,Chris Devenski,91,0.13187,0.12371,0.006341147,39,0.58974,0.69709,-0.017567289,31,0.25806,0.29715,0.007006518,0.3395,0.4857,0.008547936,-0.683256537,4.4312
