pitcher,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,Season,S_ERA,player_name
430661,1078,0.14471,0.10588,0.032238775,440,0.69545,0.63778,0.040659104,361,0.32602,0.25341,0.053198545,0.3186,0.2825,-0.01047027,1.969182107,2016,2.76,Dustin McGowan
430661,1175,0.11234,0.10884,-9.59E-04,517,0.70213,0.62497,0.04547407,375,0.31763,0.27895,0.038212252,0.328,0.3377,-7.89E-04,2.420830947,2017,4.127,Dustin McGowan
430911,492,0.14837,0.09082,0.037280174,255,0.72941,0.66473,0.021040233,174,0.25738,0.2275,0.005972739,0.3345,0.3298,0.002191974,-3.859065609,2015,3.524,David Aardsma
430912,992,0.08972,0.1122,-0.023296497,476,0.65126,0.64595,-0.005222318,332,0.30426,0.28466,0.00194889,0.3288,0.3876,0.008460856,1.893604716,2015,4.663,Matt Cain
430912,1568,0.08673,0.11593,-0.027691413,759,0.64427,0.65336,-0.006280585,518,0.2534,0.29295,-0.034702268,0.3314,0.3652,0.007461208,0.966097086,2016,5.047,Matt Cain
430912,2037,0.04958,0.10164,-0.050805326,1014,0.63116,0.64402,-0.020084345,639,0.23363,0.2847,-0.034676034,0.3389,0.3684,0.003599683,-0.431010354,2017,5.468,Matt Cain
430935,3299,0.13277,0.10446,0.023689067,1621,0.68106,0.66732,0.001897741,1247,0.3242,0.28029,0.023921266,0.3337,0.2981,-0.003551115,-1.227758092,2015,3.209,Cole Hamels
430935,3164,0.122,0.10205,0.016791028,1434,0.66109,0.64621,0.003352278,1259,0.33757,0.28683,0.041108891,0.3335,0.3235,-8.21E-05,-0.125583926,2016,3.687,Cole Hamels
430935,2311,0.09736,0.10007,-6.65E-04,1103,0.67815,0.65665,0.005127877,872,0.2707,0.2785,0.003927301,0.3353,0.3138,-0.016797889,-1.060285526,2017,3.362,Cole Hamels
430935,3055,0.12144,0.10611,0.013405585,1440,0.68264,0.66079,0.003990698,1156,0.2904,0.28716,0.014134832,0.332,0.3391,0.008369813,-0.306221744,2018,4.206,Cole Hamels
