"","Season","Name","Team","Age","PA","BB%","K%","BB/K","ISO","BABIP","SB","CS","Spd","wSB","GB/FB","GB%","LD%","FB%","IFFB%","SwStr%","Oppo%","Cent%","Pull%","Level","wRC.","PlayerId","SB_PA","Key","PlayerList"
"58",2021,"Jacob Wilson","OAK",30,218,0.11926606,0.19724771,0.60465116,0.3423913,0.3,0,0,3.67170326785714,-0.0927769616246223,0.75757576,0.34965035,0.18881119,0.46153846,0.21212121,0.10180995,0.22222222,0.24305556,0.53472222,"AAA",138.879196516974,"13254",0,"13254OAKAAA","Jacob Wilson OAK-AAA"
"59",2021,"Ildemaro Vargas","ARI",29,147,0.08843537,0.10204082,0.86666667,0.15909091,0.32478632,2,1,4.24747725738003,-0.18928525596857,1.18604651,0.44347826,0.1826087,0.37391304,0.23255814,0.06227106,0.21186441,0.27966102,0.50847458,"AAA",99.7681150026976,"13324",0.0136054421768707,"13324ARIAAA","Ildemaro Vargas ARI-AAA"
"60",2021,"Deven Marrero","MIA",30,150,0.09333333,0.25333333,0.36842105,0.14503816,0.31460674,0,1,2.03769553111383,-0.61986216250807,1.17647059,0.43478261,0.19565217,0.36956522,0.14705882,0.10361842,0.36842105,0.18947368,0.44210526,"AAA",93.6895090898782,"13325",0,"13325MIAAAA","Deven Marrero MIA-AAA"
"61",2021,"Jake Lamb","CHW",30,69,0.11594203,0.2173913,0.53333333,0.2295082,0.27906977,0,0,0.455357142857143,-0.0653864303603768,1.05882353,0.4,0.22222222,0.37777778,0.11764706,0.09818182,0.19565217,0.34782609,0.45652174,"AAA",113.21064973524,"13329",0,"13329CHWAAA","Jake Lamb CHW-AAA"
"62",2021,"Luke Maile","MIL",30,114,0.14912281,0.34210526,0.43589744,0.09574468,0.35185185,1,0,3.65309381268699,0.0648680469021201,1.47058824,0.48076923,0.19230769,0.32692308,0.23529412,0.12606838,0.26785714,0.25,0.48214286,"AAA",82.6690873213784,"13355",0.0087719298245614,"13355MILAAA","Luke Maile MIL-AAA"
"63",2021,"Bubba Starling","KCR",28,105,0.06666667,0.23809524,0.28,0.29896907,0.27272727,1,0,6.14376007906815,0.12153628654778,0.93103448,0.36986301,0.23287671,0.39726027,0.13793103,0.14285714,0.16438356,0.26027397,0.57534247,"AAA",119.369924188672,"13356",0.00952380952380952,"13356KCRAAA","Bubba Starling KCR-AAA"
"64",2021,"Dwight Smith Jr.","CIN",28,147,0.13605442,0.23129252,0.58823529,0.06299213,0.29347826,1,1,1.28734977981276,-0.432939445599913,1.33333333,0.43478261,0.23913043,0.32608696,0.23333333,0.11034483,0.47311828,0.17204301,0.35483871,"AAA",71.6523741292624,"13473",0.00680272108843537,"13473CINAAA","Dwight Smith Jr. CIN-AAA"
"65",2021,"Humberto Arteaga","WSN",27,158,0.0443038,0.23417722,0.18918919,0.07284768,0.25,1,0,4.37844715315752,0.0648680469021201,1.36842105,0.46017699,0.20353982,0.33628319,0.21052632,0.11627907,0.36842105,0.25438596,0.37719298,"AAA",31.3913425385546,"13595",0.00632911392405063,"13595WSNAAA","Humberto Arteaga WSN-AAA"
"66",2021,"Mallex Smith","CIN",28,71,0.08450704,0.26760563,0.31578947,0.06153846,0.31111111,4,2,4.44588832077358,-0.182537687011063,2.08333333,0.55555556,0.17777778,0.26666667,0.08333333,0.12101911,0.41304348,0.23913043,0.34782609,"AAA",60.1609174408376,"13608",0.0563380281690141,"13608CINAAA","Mallex Smith CIN-AAA"
"67",2021,"Travis Jankowski","PHI",30,72,0.20833333,0.125,1.66666667,0.07142857,0.36170213,4,3,5.06632653049901,-0.667267893441021,8,0.71111111,0.2,0.08888889,0.25,0.02839117,0.42553191,0.17021277,0.40425532,"AAA",133.497187609126,"13768",0.0555555555555556,"13768PHIAAA","Travis Jankowski PHI-AAA"
